team,date,opponent,time,channel
chi,"Sun, Mar 10",Arizona Coyotes,2024-03-10 22:00:00,['NHL CENTER ICE']
chi,"Thu, Mar 21",Anaheim Ducks,2024-03-22 02:00:00,['NHL CENTER ICE']
chi,"Fri, Mar 15",Los Angeles Kings,2024-03-16 00:30:00,['NHL CENTER ICE']
chi,"Tue, Mar 26",Calgary Flames,2024-03-27 00:30:00,['NHL CENTER ICE']
chi,"Tue, Mar 19",Los Angeles Kings,2024-03-20 02:30:00,['NHL CENTER ICE']
chi,"Sat, Mar 30",Philadelphia Flyers,2024-03-30 23:00:00,['NHL CENTER ICE']
chi,"Sat, Mar 23",San Jose Sharks,2024-03-24 02:30:00,['NHL CENTER ICE']
chi,"Sat, Apr 6",Dallas Stars,2024-04-06 20:30:00,['NHL CENTER ICE']
chi,"Thu, Mar 28",Ottawa Senators,2024-03-28 23:00:00,['NHL CENTER ICE']
chi,"Wed, Apr 10",St Louis Blues,2024-04-11 00:00:00,['NHL CENTER ICE']
chi,"Tue, Apr 2",New York Islanders,2024-04-02 23:30:00,['NHL CENTER ICE']
chi,"Sun, Apr 14",Carolina Hurricanes,2024-04-14 22:00:00,['NHL CENTER ICE']
chi,"Fri, Apr 12",Nashville Predators,2024-04-13 00:30:00,['NHL CENTER ICE']
chi,"Thu, Apr 18",Los Angeles Kings,2024-04-19 02:30:00,['NHL CENTER ICE']
